"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","PROP_FREIGHT","PROP_BAG","RES_CANCEL_FEES","MISC_OP_REV","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","GENERAL_ADMIN","DEPREC_AMORT","TRANS_EXPENSES","OP_EXPENSES","INCOME_PRE_TAX","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","YEAR","QUARTER",
-4572596.01,-2908378.00,412343.00,14930.00,23905.00,20027.00,184832.00,494562.00,1207881.00,1156551.00,204428.00,300142.00,661741.00,259661.00,505064.00,859669.00,4116259.00,-5559700.01,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","01260","D",2020,2,
-4526428.43,-2015723.00,1160252.00,25032.00,72089.00,4540.00,343525.00,926282.00,2599495.00,1216704.00,280736.00,305740.00,800765.00,219001.00,473059.00,1102322.00,4615218.00,-5725489.43,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","01260","D",2020,3,
-1735853.74,-2102709.99,3699697.77,17653.30,183375.87,131170.60,461042.28,1548838.80,6047387.70,1980083.92,769270.63,526995.32,677679.88,1656594.97,379274.86,1909550.94,8150097.69,-2363575.74,19805,"AA","American Airlines Inc.","American Airlines Inc.","0A050","D",2020,1,
-1601905.31,-2003556.51,1664238.03,34307.70,144391.68,4174.33,443328.52,843645.17,3145005.83,1329753.57,617842.48,342242.55,545209.31,654436.31,367741.44,1181904.04,5148562.34,-2203428.23,19805,"AA","American Airlines Inc.","American Airlines Inc.","0A050","D",2020,4,
-1538579.79,-4029704.61,612416.29,24814.34,58287.65,11884.08,358419.95,343876.32,1414451.07,1326300.50,655811.56,389308.98,525826.53,1051758.06,443125.95,973451.18,5444155.68,-2102282.37,19805,"AA","American Airlines Inc.","American Airlines Inc.","0A050","D",2020,2,
-1476828.20,-4146599.97,1487012.29,24958.67,130270.74,9301.84,381794.48,667922.32,2706259.74,1444215.85,667429.47,423661.96,568293.61,2152874.49,413260.95,1084752.80,6852859.71,-2137533.81,19805,"AA","American Airlines Inc.","American Airlines Inc.","0A050","D",2020,3,
-1281719.73,-2127672.91,646677.07,35329.93,63319.55,7405.70,-334.40,860312.44,1671673.11,734857.81,247234.01,218474.71,946306.02,547275.27,407651.97,609539.41,3799346.02,-1623198.71,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","0A875","D",2020,3,
-1230613.63,-1688246.82,1023578.49,42784.17,96027.39,6733.34,248.68,1001204.93,2235985.62,792520.84,292481.67,226749.95,1025406.59,440882.93,348982.37,690489.37,3924232.44,-1538665.59,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","0A875","D",2020,4,
-1143876.00,-2628872.00,1354022.00,40548.00,8739.00,0.00,352092.00,11648.00,1773269.00,1672609.00,363182.00,570396.00,941336.00,316487.00,315271.00,25351.00,4402141.00,-1524953.00,19393,"WN","Southwest Airlines Co.","Southwest Airlines Co.","06725","D",2020,3,
-1100395.86,-2198532.83,268357.67,22041.01,26271.78,3965.71,617.23,582431.86,925843.42,500270.79,243810.18,187052.71,882583.92,298461.44,405413.60,533776.21,3124376.26,-1355920.04,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","0A875","D",2020,2,
-965139.40,-589042.69,2864963.75,44091.73,145425.03,62649.43,1682.46,1918258.66,5077445.07,1349962.00,496515.52,399750.11,1096753.06,448532.04,290969.25,1320785.38,5666487.76,-1184525.09,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","0A875","D",2020,1,
-914578.00,-2216779.00,618890.00,37676.00,4737.00,0.00,330057.00,12538.00,1007273.00,1244376.00,328869.00,345720.00,703594.00,155954.00,309666.00,25858.00,3224052.00,-1238898.00,19393,"WN","Southwest Airlines Co.","Southwest Airlines Co.","06725","D",2020,2,
