"YEAR","QUARTER","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER_NAME","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610",
2019,1,1,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",447.00,28003.00,0.00,28003.00,2915.00,114.00,2800.00,10408.00,103277.00,103277.00,0.00,12127.00,12127.00,176.00,103.00,
2019,1,2,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",553.00,34330.00,0.00,34330.00,3512.00,79.00,3433.00,11500.00,114666.00,114666.00,0.00,13291.00,13291.00,194.00,126.00,
2019,1,3,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",558.00,33411.00,0.00,33411.00,3481.00,140.00,3341.00,12795.00,127914.00,127914.00,0.00,14935.00,14935.00,218.00,124.00,
2019,2,4,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",755.00,47042.00,0.00,47042.00,4894.00,190.00,4704.00,14306.00,142774.00,142774.00,0.00,16441.00,16441.00,243.00,137.00,
2019,2,5,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",733.00,43205.00,0.00,43205.00,4508.00,187.00,4321.00,15949.00,147625.00,147625.00,0.00,18762.00,18762.00,297.00,174.00,
2019,2,6,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",860.00,53090.00,0.00,53090.00,5439.00,130.00,5309.00,19167.00,192370.00,192370.00,0.00,22506.00,22506.00,373.00,197.00,
2019,3,7,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",1093.00,66293.00,0.00,66293.00,6804.00,174.00,6629.00,19356.00,194994.00,194994.00,0.00,22637.00,22637.00,379.00,202.00,
2019,3,8,21029,"HBQ","Harris Air Services","01113","D","Harris Air Services","F",809.00,46066.00,0.00,46066.00,4699.00,93.00,4607.00,14396.00,140910.00,140910.00,0.00,16832.00,16832.00,288.00,147.00,
2019,1,1,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3011.00,596672.00,0.00,596672.00,59667.00,0.00,59667.00,191729.00,889176.00,889176.00,0.00,111147.00,111147.00,569.00,465.00,
2019,1,2,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2782.00,555435.00,0.00,555435.00,55544.00,0.00,55544.00,172838.00,801568.00,801568.00,0.00,100196.00,100196.00,511.00,419.00,
2019,1,3,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3251.00,638773.00,0.00,638773.00,63877.00,0.00,63877.00,196729.00,912368.00,912368.00,0.00,114046.00,114046.00,589.00,481.00,
2019,2,4,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2604.00,508819.00,0.00,508819.00,50882.00,0.00,50882.00,162992.00,755904.00,755904.00,0.00,94488.00,94488.00,490.00,396.00,
2019,2,5,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1862.00,362370.00,0.00,362370.00,36237.00,0.00,36237.00,123263.00,571656.00,571656.00,0.00,71457.00,71457.00,375.00,299.00,
