"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","PROP_FREIGHT","PROP_BAG","RES_CANCEL_FEES","MISC_OP_REV","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","GENERAL_ADMIN","DEPREC_AMORT","TRANS_EXPENSES","OP_EXPENSES","INCOME_PRE_TAX","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","YEAR","QUARTER",
-941392.18,-1974123.00,1567184.00,38053.00,105263.00,12282.00,392432.00,1250679.00,3448374.00,1412942.00,436891.00,349647.00,932730.00,434033.00,387126.00,1238359.00,5422497.00,-1208776.18,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","01260","D",2021,1,
-924150.88,-2054835.60,997084.39,40153.37,93310.10,9670.67,-528.42,944754.06,2111344.29,864261.41,351691.90,284329.18,1043206.74,440109.22,341284.37,730431.07,4166179.89,-1191760.05,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","0A875","D",2021,1,
-856832.27,-856832.27,422854.74,45838.78,38473.36,1112.33,96906.06,19122.50,629698.90,486969.96,211242.33,125815.42,211761.85,282659.16,115353.54,1554.53,1486531.17,-856832.27,19805,"AA","American Airlines Inc.","American Airlines Inc.","10050","L",2021,1,
-418985.00,-857855.00,,600363.00,,,17775.00,1491959.00,2115120.00,240587.00,157612.00,,295039.00,181591.00,54808.00,1990651.00,2972975.00,-517352.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2021,3,
-369229.07,-369229.07,118153.52,127306.48,2785.34,136.56,16257.03,3483.08,280441.06,245388.56,82256.51,52811.22,89054.44,106713.43,41671.89,966.18,649670.12,-369229.07,19805,"AA","American Airlines Inc.","American Airlines Inc.","10049","A",2021,2,
-356826.00,-775805.00,,627261.00,,,3356.00,1597497.00,2236957.00,236203.00,183949.00,,343504.00,207764.00,52230.00,1926954.00,3012762.00,-517847.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2021,2,
-321400.71,-321400.71,386790.47,146025.61,7391.50,340.53,53279.96,13590.64,620046.90,355939.47,123199.95,83055.72,128826.83,146911.05,55729.97,1546.93,941447.61,-321400.71,19805,"AA","American Airlines Inc.","American Airlines Inc.","10049","A",2021,3,
-258213.16,-20058.96,383881.69,0.00,165478.60,12352.29,207171.31,1915.84,770799.74,388688.49,53183.44,47341.84,74726.85,129175.76,66111.32,0.00,790858.70,-245159.38,20416,"NK","Spirit Air Lines","Spirit Air Lines","06830","D",2021,2,
-205981.46,-459002.16,414088.11,232.32,54680.10,938.09,2479.91,42472.73,516832.39,371238.25,114870.78,85464.91,187907.52,89199.65,91678.17,171.72,975834.55,-289524.74,20409,"B6","JetBlue Airways","JetBlue Airways","06673","D",2021,1,
-205608.00,-181859.00,,723125.00,,,1547.00,693649.00,1427158.00,289034.00,111964.00,,214603.00,182132.00,69523.00,707865.00,1609017.00,-201705.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16197","P",2021,1,
-200488.26,-518970.94,261487.44,38083.44,30191.69,1888.04,706.08,58578.55,391537.86,276568.11,90549.56,89468.66,187670.72,109948.83,88484.40,33612.39,910508.80,-258577.77,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10876","L",2021,1,
-175770.56,-175770.56,847429.27,52788.29,65329.24,1131.67,98885.52,22046.41,1092728.88,457596.14,168081.19,107070.42,181601.54,204692.36,85803.99,1901.95,1268499.44,-175770.56,19805,"AA","American Airlines Inc.","American Airlines Inc.","10050","L",2021,2,
-175116.00,-562780.00,,730325.00,,,2680.00,1551921.00,2293741.00,222018.00,189289.00,,296534.00,205528.00,53070.00,1840720.00,2856521.00,-170532.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2021,1,
-172664.00,-135442.00,,99799.00,,,16215.00,167218.00,283641.00,40748.00,11589.00,,97959.00,43763.00,13812.00,201853.00,419083.00,-164578.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16195","L",2021,1,
-172561.00,-554060.00,388275.00,17564.00,35807.00,38554.00,14082.00,234644.00,745441.00,349051.00,101133.00,93250.00,175508.00,136585.00,71513.00,316594.00,1299501.00,-221235.00,19930,"AS","Alaska Airlines Inc.","Alaska Airlines Inc.","06031","D",2021,1,
-166685.00,-289992.00,204911.00,17999.00,15908.00,2361.00,60964.00,6902.00,311230.00,236853.00,68591.00,40672.00,108496.00,50487.00,62445.00,6834.00,601222.00,-197788.00,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","10260","L",2021,1,
-151956.87,-2375917.28,1656281.40,35267.10,149146.26,5916.43,406010.01,842483.84,3100740.16,1447585.38,612223.13,364283.68,615792.35,819458.70,333059.67,1134421.81,5476657.44,-466330.12,19805,"AA","American Airlines Inc.","American Airlines Inc.","0A050","D",2021,1,
-143506.89,-685817.92,2053765.91,48484.65,140581.96,8968.14,1570.55,1470086.84,3766732.00,1076962.90,367667.99,270456.11,1027472.88,342298.29,342281.09,882182.67,4452549.93,-217658.18,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","0A875","D",2021,2,
-142009.60,-175913.59,0.00,985805.60,0.00,0.00,9083.61,28.29,1024169.41,592907.85,313922.54,0.00,132956.25,66251.79,92205.58,0.00,1200083.00,-190767.38,19917,"5X","United Parcel Service","United Parcel Service","06910","D",2021,3,
-139420.97,-272246.35,84422.86,194182.26,2138.93,567.41,1062.62,5516.13,307816.30,240856.47,43759.14,87426.01,63220.00,51267.68,69803.83,2270.13,580062.66,-180070.07,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10877","P",2021,1,
-137161.05,-137161.05,20191.22,99598.03,758.41,63.79,5831.98,1147.54,138990.72,118193.43,32432.75,19335.86,32880.56,47375.27,17527.64,236.13,276151.78,-137161.05,19805,"AA","American Airlines Inc.","American Airlines Inc.","10049","A",2021,1,
-128353.26,-138928.86,0.00,1001845.29,0.00,0.00,7457.55,77.27,1037506.11,553915.20,318502.87,0.00,136495.06,64059.73,101473.91,0.00,1176434.96,-154093.99,19917,"5X","United Parcel Service","United Parcel Service","06910","D",2021,2,
-126992.30,-135944.27,0.00,1000590.96,0.00,0.00,8079.94,-135.28,1035610.98,540188.80,325842.27,0.00,138557.37,59727.42,105250.94,0.00,1171555.25,-150673.50,19917,"5X","United Parcel Service","United Parcel Service","06910","D",2021,1,
-117682.00,-290611.39,537789.60,41559.70,53675.49,1860.38,358.31,90332.65,727570.27,340199.11,99571.77,84097.37,220583.54,85299.19,102350.38,41296.26,1018181.66,-141578.69,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10876","L",2021,2,
-113335.65,-167696.65,128751.90,230946.79,2328.14,452.56,85.74,7954.98,391805.84,250921.61,35112.43,69621.42,76938.88,39739.19,61704.59,3465.41,559502.50,-122655.30,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10877","P",2021,2,
-99516.81,-248331.44,186333.37,0.00,104790.74,1169.46,115199.19,1200.33,408693.09,304193.85,43622.55,46601.03,66132.63,109687.37,65840.36,0.00,657024.53,-122428.98,20416,"NK","Spirit Air Lines","Spirit Air Lines","06830","D",2021,1,
-92667.78,-344064.43,195435.29,186455.26,8345.34,1413.36,139.10,10693.87,409903.76,251535.73,50516.21,95869.76,122224.75,101918.90,90923.29,6439.34,753968.18,-119960.80,19977,"UA","United Air Lines Inc.","United Air Lines Inc.","10874","A",2021,1,
-87951.00,-87483.00,,144457.00,,,18168.00,179663.00,342883.00,50083.00,14553.00,,101688.00,45844.00,15775.00,190587.00,430366.00,-110156.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16195","L",2021,2,
