"YEAR","QUARTER","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER_NAME","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610",
2020,1,1,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3381.00,664053.00,0.00,664053.00,66405.00,0.00,66405.00,199978.00,927432.00,927432.00,0.00,115929.00,115929.00,601.00,502.00,
2020,1,2,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3584.00,721276.00,0.00,721276.00,72128.00,0.00,72128.00,205047.00,950944.00,950944.00,0.00,118868.00,118868.00,602.00,503.00,
2020,1,3,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2081.00,417215.00,0.00,417215.00,41722.00,0.00,41722.00,125283.00,581024.00,581024.00,0.00,72628.00,0.00,368.00,305.00,
2020,2,5,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",320.00,57350.00,0.00,57350.00,5735.00,0.00,5735.00,22190.00,102912.00,102912.00,0.00,12864.00,12864.00,74.00,54.00,
2020,2,6,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1049.00,199454.00,0.00,199454.00,19945.00,0.00,19945.00,62442.00,289584.00,289584.00,0.00,36198.00,36198.00,193.00,153.00,
2020,3,7,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3074.00,601023.00,0.00,601023.00,60102.00,0.00,60102.00,185990.00,862560.00,862560.00,0.00,107820.00,107820.00,558.00,453.00,
2020,3,8,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2967.00,570633.00,0.00,570633.00,57063.00,0.00,57063.00,162314.00,752760.00,752760.00,0.00,94095.00,94095.00,493.00,389.00,
2020,3,9,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1522.00,289934.00,0.00,289934.00,28993.00,0.00,28993.00,86859.00,402824.00,402824.00,0.00,50353.00,50353.00,263.00,210.00,
2020,4,10,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1280.00,254728.00,0.00,254728.00,25473.00,0.00,25473.00,75167.00,348600.00,348600.00,0.00,43575.00,43575.00,221.00,179.00,
2020,4,11,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2697.00,549109.00,0.00,549109.00,54911.00,0.00,54911.00,159114.00,737920.00,737920.00,0.00,92240.00,92240.00,458.00,377.00,
2020,4,12,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2750.00,533111.00,0.00,533111.00,53311.00,0.00,53311.00,164455.00,762688.00,762688.00,0.00,95336.00,95336.00,498.00,390.00,
2020,1,1,21111,"3F","Pacific Airways, Inc.","01129","D","Pacific Airways, Inc.","F",13.00,411.00,0.00,411.00,166.00,20.00,41.00,515.00,5154.00,5154.00,0.00,859.00,0.00,41.00,12.00,
2020,1,2,21111,"3F","Pacific Airways, Inc.","01129","D","Pacific Airways, Inc.","F",6.00,158.00,0.00,158.00,88.00,6.00,16.00,329.00,3294.00,3294.00,0.00,549.00,0.00,29.00,8.00,
2020,1,1,21167,"CP (2)","Compass Airlines","01131","D","Compass Airlines","F",343773.00,184137212.00,0.00,184137212.00,18413721.00,0.00,18413721.00,31229143.00,238668543.00,238668543.00,0.00,3140817.00,3142097.00,5965.00,7964.00,
2020,1,2,21167,"CP (2)","Compass Airlines","01131","D","Compass Airlines","F",292636.00,164496479.00,0.00,164496479.00,16449648.00,0.00,16449648.00,27085438.00,207026143.00,207026143.00,0.00,2724071.00,2717638.00,4955.00,6805.00,
2020,1,3,21167,"CP (2)","Compass Airlines","01131","D","Compass Airlines","F",140262.00,76578418.00,0.00,76578418.00,7657842.00,0.00,7657842.00,22762719.00,173983892.00,173983892.00,0.00,2289321.00,2628997.00,4294.00,5790.00,
2020,2,4,21167,"CP (2)","Compass Airlines","01131","D","Compass Airlines","F",521.00,299459.00,0.00,299459.00,29946.00,0.00,29946.00,474460.00,3626568.00,3626568.00,0.00,47718.00,187657.00,73.00,113.00,
2020,1,1,21242,"MW","Mokulele Flight Services, Inc.","01143","D","Mokulele Flight Services, Inc.","F",1038.00,187878.00,0.00,187878.00,18788.00,0.00,18788.00,72219.00,342090.00,342090.00,0.00,38010.00,38734.00,210.00,253.00,
