year,quarter,month,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,region,carrier_name,service_class,rev_pax_enp_110,rev_pax_miles_140,rev_pax_miles_first,rev_ton_miles_240,rev_ton_miles_freight_247,rev_ton_miles_pax_241,avl_ton_miles_280,avl_seat_miles_320,avl_seat_miles_first,rev_acrft_miles_flown_410,rev_acrft_miles_sch_430,rev_acrft_dep_perf_510,rev_acrft_hrs_airborne_610
2019,2,4,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,826762,1017756769,1017756769,115165602,13099798,101775677,197911807,1167642840,1167642840,5152319,5155692,6877,11415
2019,2,5,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,877038,1073284320,1073284320,121379753,13701538,107328432,206814170,1216513236,1216513236,5350481,5360679,7198,11827
2019,2,6,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,873105,1065773145,1065773145,120601762,13662852,106577315,200146277,1185580462,1185580462,5261075,5258948,7159,11562
2019,3,7,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,938757,1101886989,1101886989,125038819,14414684,110188699,205000811,1214748573,1214748573,5391273,5415726,7299,11819
2019,3,8,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,912616,1079866446,1079866446,122060304,13676959,107986645,203374102,1206033282,1206033282,5359584,5387165,7325,11769
2019,3,9,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,784944,966706312,966706312,110301572,13202916,96670631,190263553,1138656563,1138656563,5103991,5359114,6843,11129
2019,4,10,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,844249,1045471949,1045471949,118414505,13327314,104547195,198660434,1193622121,1193622121,5368336,5386620,7087,11765
2019,4,11,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,786393,969021545,969021545,110436801,13034042,96902155,193249392,1166660852,1166660852,5277552,5308271,6886,11638
2019,4,12,19690,HA,Hawaiian Airlines Inc.,05375,D,Hawaiian Airlines Inc.,F,864935,1071482146,1071482146,121573005,13813757,107148215,205218715,1242532230,1242532230,5628285,5636367,7246,12393
2019,1,1,20452,YX,Republic Airline,06003,D,Republic Airline,F,1204240,736941460,736941460,73694146,0,73694146,152619845,1078738275,1078738275,14583313,15149653,24607,37688
2019,1,2,20452,YX,Republic Airline,06003,D,Republic Airline,F,1194337,728042437,728042437,72804244,0,72804244,142939277,1009910202,1009910202,13638269,14144552,22981,35322
2019,1,3,20452,YX,Republic Airline,06003,D,Republic Airline,F,1520649,936374075,936374075,93637408,0,93637408,170582402,1205658070,1205658070,16297477,16485135,27114,41694
2019,2,4,20452,YX,Republic Airline,06003,D,Republic Airline,F,1531839,911795048,911795048,91179505,0,91179505,165722090,1170827747,1170827747,15813302,16125931,27076,40522
2019,2,5,20452,YX,Republic Airline,06003,D,Republic Airline,F,1572411,948552138,948552138,94855214,0,94855214,168026594,1186230681,1186230681,15999562,16330072,27001,40671
2019,2,6,20452,YX,Republic Airline,06003,D,Republic Airline,F,1642546,1021829866,1021829866,102182987,0,102182987,174292954,1231405693,1231405693,16631484,16954294,27474,41986
2019,3,7,20452,YX,Republic Airline,06003,D,Republic Airline,F,1604699,998920674,998920674,99892067,0,99892067,173791176,1228088274,1228088274,16594307,17234223,27383,41293
2019,3,8,20452,YX,Republic Airline,06003,D,Republic Airline,F,1608367,979316001,979316001,97931600,0,97931600,176557169,1247838314,1247838314,16871783,17337969,28341,42360
2019,3,9,20452,YX,Republic Airline,06003,D,Republic Airline,F,1460654,873866736,873866736,87386674,0,87386674,168302622,1188834122,1188834122,16048396,16234519,27232,40042
2019,4,10,20452,YX,Republic Airline,06003,D,Republic Airline,F,1603873,956217673,956217673,95621767,0,95621767,175968197,1243230044,1243230044,16789234,16839353,28688,42609
2019,4,11,20452,YX,Republic Airline,06003,D,Republic Airline,F,1460919,863613548,863613548,86361355,0,86361355,166295045,1174374490,1174374490,15845339,15914747,27280,40538
2019,4,12,20452,YX,Republic Airline,06003,D,Republic Airline,F,1637805,1017086017,1017086017,101708602,0,101708602,181898872,1284904743,1284904743,17343948,17598875,28592,44232
2019,1,1,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,280720,101786025,101786025,10178603,0,10178603,19304606,138444950,138444950,2768899,3154802,7641,7875
2019,1,2,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,283112,101167719,101167719,10116772,0,10116772,33231707,137890900,137890900,2757818,2964456,7596,7872
2019,1,3,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,359010,128196640,128196640,12819664,0,12819664,19860349,160522100,160522100,3210442,3245155,8972,9039
2019,2,4,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,346286,130050721,130050721,13005072,0,13005072,20216606,159215150,159215150,3184303,3303596,8658,8932
2019,2,5,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,358422,138968234,138968234,13896823,0,13896823,20922322,167759200,167759200,3355184,3418680,8803,9363
2019,2,6,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,365927,143661062,143661062,14366106,0,14366106,40835751,169442950,169442950,3388859,3459850,8793,9427
2019,3,7,20046,ZW,Air Wisconsin Airlines Corp,06024,D,Air Wisconsin Airlines Corp,F,368646,144241925,144241925,14424193,0,14424193,21611372,170327050,170327050,3406541,3531270,8828,9338
